title,key
Configuration _updates_ are ignored when using a NotCachablePersistenceManager,FELIX-5949
Collection of performance and memory optimizations,FELIX-5948
ClassLoader memory leak,FELIX-5947
Felix Version Number is 0.0.0,FELIX-5946
Avoid unnecessary reflection,FELIX-5945
Add additional checks for concurrent unregistering of web components,FELIX-5944
Felix Framework / Resolver Dependency,FELIX-5943
Felix Framework freezes when resolving classes in parallel with Java 10,FELIX-5942
DM APi enhancements,FELIX-5941
NPE when project artifact has not been built,FELIX-5940
DM annotations enhancements,FELIX-5939
DM not working with latest Felix Framework,FELIX-5938
Refactor DM bndtools/gradle project,FELIX-5937
Metatype XML Namespace 1.4 not supported,FELIX-5936
Can't install features with dependencies to sources manifest-version 1,FELIX-5935
The Felix Web Console stores unsalted hashed password,FELIX-5934
Change check configuration from CDATA to maps,FELIX-5933
Configurator does not update existing Configurations,FELIX-5932
Update to jetty 9.4.12.v20180830,FELIX-5931
Service reference is missing in DTO,FELIX-5930
Failed activation state not reported in DTOs,FELIX-5929
Improve session handling,FELIX-5928
Single element Annotation type does not incorporate PREFIX_,FELIX-5927
Logger instance is not set for constructor and reference injection,FELIX-5926
osgicheck-maven-plugin: Add check for packages with versions but without explicit provider/consumer type information,FELIX-5925
Allow to provide/override config key values using env variables,FELIX-5924
Conversion from Map to single element Annotation type does not incorporate PREFIX_,FELIX-5923
Use of Thread.interrupt() is incorrect for the shell.Activator,FELIX-5922
export for package org.eclipse.jetty.security.authentication,FELIX-5921
Prepare maven-bundle-plugin for release with bndlib 4.0.0,FELIX-5920
[Configurator] check for ConfigurationPermission instead of ServicePermission,FELIX-5919
[ConfigAdmin] AccessControlExceptions in ConfigurationAdmin methods,FELIX-5918
[Fwk security] Fix BundlePermission check for fragments,FELIX-5917
Felix Framework - dependency on org.apache.felix.resolver,FELIX-5916
Ignoring resolution:optional by mavenbundleplugin,FELIX-5915
Workaround SecurityManager.getClassContext returning null on Android,FELIX-5914
Support Android,FELIX-5913
Handle empty package definitions in system package definitions more gracefully,FELIX-5912
[Configurator] Too restrictive permissions.perm file,FELIX-5911
Set correct AccessControlContext when receiving configuration events,FELIX-5910
[Converter] Version number contains timestamp,FELIX-5909
NoClassDefFoundError for the CM Security Domain combiner,FELIX-5908
Add media type application/json to the reporter and ootb servlets,FELIX-5907
Installing Manifest only bundles causes ArrayIndexOutOfBoundsException from Felix Security,FELIX-5906
SCR cannot access method getLogger from LogService R7,FELIX-5905
"SCR is creating a logger instance using name ""null""",FELIX-5904
FrameworkStartCheck does not work by default on bndtools,FELIX-5903
java.lang.IllegalArgumentException: Bundle org.apache.felix.scr is not resolved with R7 LogService,FELIX-5902
Update to latest jQuery UI 1.12.1,FELIX-5901
Donating a tool able to generate markdown documentation for SCR and Metatype,FELIX-5900
Add liveness checks,FELIX-5899
java.io.NotSerializableException: org.apache.felix.configurator.impl.json.OrderedDictionary,FELIX-5898
org.apache.felix.http.proxy.ProxyServlet NullPointerException,FELIX-5897
Avoid runtime dependency to javax.annotation package,FELIX-5896
Upgrade bndlib to 4.1.0 in order to support annotation from DS 1.4,FELIX-5895
Webconsole config editor does not allow to add arbitrary key/values when there is metatype information,FELIX-5894
JQuery Security bug CVE-2015-9251 in Web Console,FELIX-5893
Repeated calls to getFactoryConfiguration return different configuration instances,FELIX-5892
Keep order of properties and objects,FELIX-5891
NoClassDefFoundError aQute/bnd/osgi/Analyzer,FELIX-5890
Extension Bundle capabilities do not index correctly,FELIX-5889
OBR does not properly hanle Bundle-RequiredExecutionEnvironment header,FELIX-5888
Cycles in DS depending on bundle order,FELIX-5887
Error logged by org.apache.felix.framework.BundleWiringImpl.getClassByDelegation,FELIX-5886
Felix SCR uses an overly restrictive import range for promises,FELIX-5885
HTTP Jetty Managed Service Factory (Factory Configuration) not working,FELIX-5884
Add support to enable and configure the jetty GzipHandler to the entire server,FELIX-5883
Update to latest jetty version 9.4.11.v20180605,FELIX-5882
Implement stream support from Log Service Specification 1.4,FELIX-5881
Add a framework extension fragment which helps load Felix Log Service and Felix Logback when they are on the framework classpath,FELIX-5880
Maven-bundle-plugin generates wrong osgi.ee requirement on JDK 10,FELIX-5879
Implement resolve timeout,FELIX-5878
Add missing org.w3c.dom exports for java < 9,FELIX-5877
Update to Log Service Specification 1.4,FELIX-5876
org.osgi.framework.os.name et.al. are not obeyed,FELIX-5875
URLHandlersContentHandlerProxy.getBuiltIn always returns null,FELIX-5874
Servlet does not work in Apache Karaf,FELIX-5873
Test failure in build,FELIX-5872
Locale support is limited by jQuery,FELIX-5871
Handle relative path elements in bundle classpath,FELIX-5870
[goto][jline] Weird error if the script contains unicode characters,FELIX-5869
How to add global filters in jetty,FELIX-5868
reference field of type Logger for service LoggerFactory is always null,FELIX-5867
scr does not respect the log level set in LoggerAdmin,FELIX-5866
SCR r7 logging support doesn't work on equinox framework,FELIX-5865
Missing uses constraints for OSGi spec packages,FELIX-5864
Web Console doesn't report Number format exception,FELIX-5863
Bind a Service with an configurable target/placeholder in @Referance annotation,FELIX-5862
